timestamp, utilization.gpu [%], utilization.memory [%], pstate, pcie.link.gen.max, pcie.link.gen.current
2024/06/18 11:24:54.514, 53 %, 41 %, P0, 3, 3
2024/06/18 11:24:55.515, 73 %, 58 %, P0, 3, 3
2024/06/18 11:24:56.516, 72 %, 56 %, P0, 3, 3
2024/06/18 11:24:57.516, 38 %, 29 %, P0, 3, 3
2024/06/18 11:24:58.516, 77 %, 54 %, P0, 3, 3
2024/06/18 11:24:59.517, 78 %, 55 %, P0, 3, 3
2024/06/18 11:25:00.517, 73 %, 57 %, P0, 3, 3
2024/06/18 11:25:01.517, 55 %, 43 %, P0, 3, 3
2024/06/18 11:25:02.518, 42 %, 32 %, P0, 3, 3
2024/06/18 11:25:03.518, 72 %, 57 %, P0, 3, 3
2024/06/18 11:25:04.518, 46 %, 35 %, P0, 3, 3
2024/06/18 11:25:05.519, 59 %, 43 %, P0, 3, 3
2024/06/18 11:25:06.519, 78 %, 56 %, P0, 3, 3
2024/06/18 11:25:07.519, 74 %, 59 %, P0, 3, 3
2024/06/18 11:25:08.519, 53 %, 41 %, P0, 3, 3
2024/06/18 11:25:09.520, 71 %, 50 %, P0, 3, 3
2024/06/18 11:25:10.520, 73 %, 57 %, P0, 3, 3
2024/06/18 11:25:11.540, 78 %, 55 %, P0, 3, 3
2024/06/18 11:25:12.540, 79 %, 55 %, P0, 3, 3
2024/06/18 11:25:13.540, 66 %, 47 %, P0, 3, 3
2024/06/18 11:25:14.541, 74 %, 52 %, P0, 3, 3
2024/06/18 11:25:15.541, 46 %, 34 %, P0, 3, 3
2024/06/18 11:25:16.541, 79 %, 55 %, P0, 3, 3
2024/06/18 11:25:17.542, 78 %, 55 %, P0, 3, 3
2024/06/18 11:25:18.542, 78 %, 55 %, P0, 3, 3
2024/06/18 11:25:19.550, 70 %, 49 %, P0, 3, 3
2024/06/18 11:25:20.572, 72 %, 56 %, P0, 3, 3
2024/06/18 11:25:21.572, 49 %, 35 %, P0, 3, 3
2024/06/18 11:25:22.573, 77 %, 54 %, P0, 3, 3
2024/06/18 11:25:23.573, 78 %, 55 %, P0, 3, 3
2024/06/18 11:25:24.573, 61 %, 44 %, P0, 3, 3
2024/06/18 11:25:25.574, 76 %, 54 %, P0, 3, 3
2024/06/18 11:25:26.574, 74 %, 52 %, P0, 3, 3
2024/06/18 11:25:27.576, 71 %, 50 %, P0, 3, 3
